155,208520,99147,-54600,-45089,99147,-54600,-45089,0,0,0,0
156,209874,94784,-20172,-75130,94784,-20172,-75130,0,0,0,0
157,211228,75965,17302,-93683,75965,17302,-93683,0,0,0,0
158,212582,46973,52076,-99307,46973,52076,-99307,0,0,0,0
159,213936,11627,79632,-91324,11627,79632,-91324,0,0,0,0
160,215290,-25462,96369,-70769,-25462,96369,-70769,0,0,0,0
161,216644,-59314,99802,-40166,-59314,99802,-40166,0,0,0,0
162,217998,-84090,88012,-3465,-84090,88012,-3465,0,0,0,0
163,219352,-97187,64343,33371,-97187,64343,33371,0,0,0,0
164,220706,-96946,31927,65545,-96946,31927,65545,0,0,0,0
165,222060,-83392,-5009,88855,-83392,-5009,88855,0,0,0,0
166,223414,-58083,-41560,99958,-58083,-41560,99958,0,0,0,0
167,224768,-23943,-71742,95814,-23943,-71742,95814,0,0,0,0
168,226122,13146,-91878,78658,13146,-91878,78658,0,0,0,0
169,227476,48344,-99388,50779,48344,-99388,50779,0,0,0,0
170,228830,77053,-93283,15808,77053,-93283,15808,0,0,0,0
171,230184,95243,-74099,-21664,95243,-74099,-21664,0,0,0,0
172,231538,98906,-43645,-55801,98906,-43645,-55801,0,0,0,0
173,232892,89065,-7524,-82028,89065,-7524,-82028,0,0,0,0
174,234246,67058,29535,-96961,67058,29535,-96961,0,0,0,0
175,235600,35750,62697,-98645,35750,62697,-98645,0,0,0,0
176,236954,-814,87376,-86560,-814,87376,-86560,0,0,0,0
177,238308,-37218,98725,-61307,-37218,98725,-61307,0,0,0,0
178,239662,-68221,96524,-27933,-68221,96524,-27933,0,0,0,0
179,241016,-89809,81114,9182,-89809,81114,9182,0,0,0,0
180,242370,-99157,54501,45194,-99157,54501,45194,0,0,0,0
181,243724,-94722,20047,75188,-94721,20047,75188,0,0,0,0
182,245079,-75873,-17423,93707,-75873,-17423,93707,0,0,0,0
183,246433,-46860,-52181,99295,-46860,-52181,99295,0,0,0,0
184,247787,-11502,-79713,91276,-11502,-79713,91276,0,0,0,0
185,249141,25587,-96417,70688,25587,-96417,70688,0,0,0,0
186,250495,59406,-99777,40044,59406,-99777,40044,0,0,0,0
187,251849,84152,-87954,3340,84152,-87954,3340,0,0,0,0
188,253203,97213,-64257,-33487,97213,-64257,-33487,0,0,0,0
189,254557,96936,-31822,-65644,96936,-31822,-65644,0,0,0,0
190,255911,83346,5122,-88925,83346,5122,-88925,0,0,0,0
191,257265,57985,41653,-99958,57985,41653,-99958,0,0,0,0
192,258619,23834,71812,-95778,23834,71812,-95778,0,0,0,0
193,259973,-13255,91915,-78590,-13255,91915,-78590,0,0,0,0
194,261327,-48441,99389,-50685,-48441,99389,-50685,0,0,0,0
195,262681,-77128,93246,-15699,-77128,93246,-15699,0,0,0,0
196,264035,-95254,74001,21769,-95254,74001,21769,0,0,0,0
197,265389,-98880,43529,55888,-98880,43529,55888,0,0,0,0
198,266743,-89003,7399,82086,-89003,7399,82086,0,0,0,0
199,268097,-66966,-29656,96985,-66966,-29656,96985,0,0,0,0
200,269451,-35636,-62803,98631,-35636,-62803,98631,0,0,0,0
